what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353161837
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353161924
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353164647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353175000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1650353176711
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1650353177361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1650353179271
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353185764
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353192011
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353196384
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353196910
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.selectAll",1650353198160
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1650353198888
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1650353199847
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1650353208397
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353220974
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353228179
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353230736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353237151
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353238079
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353254904
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1650353272710
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353274420
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353302638
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1650353406927
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353421087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1650353440221
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353441279
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353500136
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353533199
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353533667
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353534115
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353534772
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1650353535321
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353553218
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353561272
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353573224
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353596627
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353597855
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353598773
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353633327
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353640951
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1650353673630
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1650353673685
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353681701
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353683089
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353699037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353702242
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1650353705120
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1650353705332
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1650353705458
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353780390
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353782294
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353788960
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353798910
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353837598
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353843650
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353853686
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353860546
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1650353880852
started,bundle,org.eclipse.pde,3.4.100.v201002111343,"org.eclipse.pde",1650353880904
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353895232
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353896983
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353900551
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353914568
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353917627
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353922537
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353942397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353949645
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353972178
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650353974765
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1650353986205
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650353995981
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1650354057570
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1650354057621
